"Student Counts by District and English Learner Status"
"All Districts"
"Trend"

"",,"English Learner Status",,
"East Windsor School District","=""0470011""",12332,438,12770
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",2903,40,2943
"Eastford School District","=""0390011""",1640,0,1640
"Easton School District","=""0460011""",10282,53,10335
"EdAdvance","=""2420014""",219,0,219
"Education Connection","=""2420014""",1966,0,1966
"Ellington School District","=""0480011""",26387,357,26744
"Elm City College Preparatory School","=""2810013""",985,0,985
"Elm City College Preparatory School District","=""2890013""",4777,247,5024
"Elm City Montessori School District","=""2910013""",308,15,323
"Enfield School District","=""0490011""",55763,945,56708
"Essex School District","=""0500011""",5118,58,5176
"Explorations District","=""2720013""","*","*",833
"Fairfield School District","=""0510011""",99198,2196,101394
"Farmington School District","=""0520011""",40303,802,41105
"Franklin School District","=""0530011""",2008,0,2008
"Glastonbury School District","=""0540011""",64523,879,65402
"Granby School District","=""0560011""",21237,89,21326
"Great Oaks Charter School District","=""2940013""",573,104,677
"Greenwich School District","=""0570011""",83814,4917,88731
"Griswold School District","=""0580011""",19717,199,19916
"Groton School District","=""0590011""",47500,978,48478
"Guilford School District","=""0600011""",35767,386,36153
"Hamden School District","=""0620011""",56349,2385,58734
"Hampton School District","=""0630011""","*","*",1262
"Hartford School District","=""0640011""",179854,37087,216941
"Hartland School District","=""0650011""","*","*",2156
"Hebron School District","=""0670011""",9747,18,9765
"Highville Charter School District","=""2860013""","*","*",3586
"Integrated Day Charter School District","=""2640013""",3095,208,3303
"Interdistrict School for Arts and Comm District","=""2650013""",1954,204,2158
"Jumoke Academy District","=""2610013""","*","*",5631
"Kent School District","=""0680011""",2643,18,2661
"Killingly School District","=""0690011""",26061,630,26691
"Learn","=""2450014""",15730,1243,16973
"Lebanon School District","=""0710011""",12787,27,12814
"Ledyard School District","=""0720011""",25889,281,26170
"Lisbon School District","=""0730011""",4752,22,4774
"Litchfield School District","=""0740011""",10841,25,10866
"Madison School District","=""0760011""",34023,129,34152
"Manchester School District","=""0770011""",62045,3392,65437
"Mansfield School District","=""0780011""",12386,421,12807
"Marlborough School District","=""0790011""",6266,24,6290
"Meriden School District","=""0800011""",73030,10294,83324
"Middletown School District","=""0830011""",48401,1463,49864
"Milford School District","=""0840011""",65764,1393,67157
"Monroe School District","=""0850011""",35901,159,36060
"Montville School District","=""0860011""",24337,956,25293
"Naugatuck School District","=""0880011""",43690,1864,45554
"New Beginnings Inc Family Academy District","=""""",499,0,499
"New Beginnings Inc., Family Academy District","=""2800013""","*","*",3574
"New Britain School District","=""0890011""",86039,16758,102797
"New Canaan School District","=""0900011""",41418,338,41756
"New Fairfield School District","=""0910011""",27744,277,28021
"New Hartford School District","=""0920011""",5577,18,5595
"New Haven School District","=""0930011""",181391,27310,208701
"New London School District","=""0950011""",24692,6885,31577
"New Milford School District","=""0960011""",44977,1271,46248
"Newington School District","=""0940011""",41631,1628,43259
"Newtown School District","=""0970011""",51355,114,51469
"Norfolk School District","=""0980011""",1306,0,1306
"North Branford School District","=""0990011""",21276,193,21469
"North Canaan School District","=""1000011""",3007,72,3079
"North Haven School District","=""1010011""",34615,635,35250
"North Stonington School District","=""1020011""",7671,12,7683
"Norwalk School District","=""1030011""",97452,13942,111394
"Norwich Free Academy District","=""9010022""",22415,1164,23579
"Norwich School District","=""1040011""",34011,4563,38574
"Odyssey Community School District","=""2630013""",2629,34,2663
"Old Saybrook School District","=""1060011""",14654,381,15035
"Orange School District","=""1070011""",12241,280,12521
"Oxford School District","=""1080011""",20118,346,20464
"Park City Prep Charter School District","=""2830013""",2728,42,2770
"Path Academy District","=""2930013""",325,107,432
"Plainfield School District","=""1090011""",25178,243,25421
"Plainville School District","=""1100011""",23576,960,24536
"Plymouth School District","=""1110011""",16643,121,16764
"Pomfret School District","=""1120011""",4673,38,4711
"Portland School District","=""1130011""",13759,120,13879
"Preston School District","=""1140011""",4349,83,4432
"Putnam School District","=""1160011""",12227,323,12550
"Redding School District","=""1170011""",11339,84,11423
"Regional School District 01","=""2010012""",4740,16,4756
"Regional School District 04","=""2040012""",9617,61,9678
"Regional School District 05","=""2050012""",23903,108,24011
"Regional School District 06","=""2060012""",10237,113,10350
"Regional School District 07","=""2070012""",11424,7,11431
"Regional School District 08","=""2080012""",17074,15,17089
"Regional School District 09","=""2090012""",10082,21,10103
"Regional School District 10","=""2100012""",26235,246,26481
"Regional School District 11","=""2110012""",2855,11,2866
"Regional School District 12","=""2120012""",8646,62,8708
"Regional School District 13","=""2130012""",19526,83,19609
"Regional School District 14","=""2140012""",19597,198,19795
"Regional School District 15","=""2150012""",41563,303,41866
"Regional School District 16","=""2160012""",24265,262,24527
"Regional School District 17","=""2170012""",23477,52,23529
"Regional School District 18","=""2180012""",14235,80,14315
"Regional School District 19","=""2190012""",11928,141,12069
"Ridgefield School District","=""1180011""",52720,466,53186
"Rocky Hill School District","=""1190011""",24517,1124,25641
"Salem School District","=""1210011""",4478,8,4486
"Salisbury School District","=""1220011""",2946,29,2975
"Scotland School District","=""1230011""",1440,0,1440
"Seymour School District","=""1240011""",23009,627,23636
"Sharon School District","=""1250011""",1854,6,1860
"Shelton School District","=""1260011""",50357,1712,52069
"Sherman School District","=""1270011""",3912,18,3930
"Side By Side Charter School District","=""2700013""",2187,144,2331
"Simsbury School District","=""1280011""",45332,536,45868
"Somers School District","=""1290011""",15759,73,15832
"South Windsor School District","=""1320011""",43482,1187,44669
"Southington School District","=""1310011""",66379,1085,67464
"Sprague School District","=""1330011""",3595,26,3621
"Stafford School District","=""1340011""",17298,103,17401
"Stamford Academy District","=""2820013""",1392,0,1392
"Stamford Charter School for Excellence District","=""2960013""",381,0,381
"Stamford School District","=""1350011""",135297,20628,155925
"Sterling School District","=""1360011""",4844,0,4844
"Stonington School District","=""1370011""",23670,126,23796
"Stratford School District","=""1380011""",68986,3112,72098
"Suffield School District","=""1390011""",24585,103,24688
"The Bridge Academy District","=""2690013""",2686,34,2720
"The Gilbert School District","=""9020022""",4623,142,4765
"Thomaston School District","=""1400011""",10500,49,10549
"Thompson School District","=""1410011""",11969,33,12002
"Tolland School District","=""1420011""",28718,152,28870
"Torrington School District","=""1430011""",41814,3312,45126
"Trailblazers Academy District","=""2780013""","*","*",1500
"Trumbull School District","=""1440011""",67503,1210,68713
"Unified School District #1","=""3360015""",7106,0,7106
"Unified School District #2","=""3470015""",2595,12,2607
"Union School District","=""1450011""",764,0,764
"Vernon School District","=""1460011""",33945,826,34771
"Voluntown School District","=""1470011""",3104,0,3104
"Wallingford School District","=""1480011""",61088,2764,63852
"Waterbury School District","=""1510011""",163607,21786,185393
"Waterford School District","=""1520011""",26745,368,27113
"Watertown School District","=""1530011""",30021,706,30727
"West Hartford School District","=""1550011""",94477,5663,100140
"West Haven School District","=""1560011""",54734,6426,61160
"Westbrook School District","=""1540011""",8579,302,8881
"Weston School District","=""1570011""",24686,138,24824
"Westport School District","=""1580011""",56888,602,57490
"Wethersfield School District","=""1590011""",35373,1984,37357
"Willington School District","=""1600011""",4934,20,4954
"Wilton School District","=""1610011""",42709,239,42948
"Winchester School District","=""1620011""",7559,276,7835
"Windham School District","=""1630011""",25802,7876,33678
"Windsor Locks School District","=""1650011""",16720,680,17400
"Windsor School District","=""1640011""",34206,1187,35393
"Wolcott School District","=""1660011""",25602,437,26039
"Woodbridge School District","=""1670011""",7458,147,7605
"Woodstock Academy District","=""9030022""",10858,13,10871
"Woodstock School District","=""1690011""",8951,57,9008
"Total","=""""",5247870,320428,5568298

