"Student Counts by District and English Learner Status"
"All Districts"
"Trend"

"",,"English Learner Status",,
"District","District Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",6538,312,6850
"Amistad Academy District","=""2790013""",7725,794,8519
"Andover School District","=""0010011""",2999,30,3029
"Ansonia School District","=""0020011""",24527,753,25280
"Area Cooperative Educational Services","=""2440014""",19453,464,19917
"Ashford School District","=""0030011""",4454,65,4519
"Avon School District","=""0040011""",33941,633,34574
"Barkhamsted School District","=""0050011""",3319,12,3331
"Berlin School District","=""0070011""",29654,710,30364
"Bethany School District","=""0080011""",4688,10,4698
"Bethel School District","=""0090011""",29180,941,30121
"Bloomfield School District","=""0110011""",21395,260,21655
"Bolton School District","=""0120011""",8644,43,8687
"Booker T. Washington Academy District","=""2950013""",512,0,512
"Bozrah School District","=""0130011""",2353,15,2368
"Branford School District","=""0140011""",31964,1069,33033
"Brass City Charter School District","=""2900013""","*","*",670
"Bridgeport Achievement First District","=""2850013""",5350,659,6009
"Bridgeport School District","=""0150011""",179735,27874,207609
"Bristol School District","=""0170011""",81898,2999,84897
"Brookfield School District","=""0180011""",27734,446,28180
"Brooklyn School District","=""0190011""",9371,42,9413
"Canaan School District","=""0210011""",812,21,833
"Canterbury School District","=""0220011""",5191,7,5198
"Canton School District","=""0230011""",17023,135,17158
"Capital Preparatory Harbor School Inc. District","=""2970013""",503,0,503
"Capitol Region Education Council","=""2410014""",56789,2137,58926
"Chaplin School District","=""0240011""","*","*",1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","*","*",546
"Cheshire School District","=""0250011""",47011,386,47397
"Chester School District","=""0260011""",2598,12,2610
"Clinton School District","=""0270011""",19221,529,19750
"Colchester School District","=""0280011""",28934,227,29161
"Colebrook School District","=""0290011""",1025,0,1025
"Columbia School District","=""0300011""","*","*",5138
"Common Ground High School District","=""2680013""",1673,37,1710
"Connecticut Technical High School System","=""9000016""",102227,3176,105403
"Cooperative Educational Services","=""2430014""","*","*",8027
"Cornwall School District","=""0310011""",1048,9,1057
"Coventry School District","=""0320011""",17847,29,17876
"Cromwell School District","=""0330011""",19533,534,20067
"Danbury School District","=""0340011""",86132,21611,107743
"Darien School District","=""0350011""",48146,180,48326
"Deep River School District","=""0360011""",3275,123,3398
"Department of Mental Health and Addiction Services","=""3370015""",60,0,60
"Derby School District","=""0370011""",13719,922,14641
"East Granby School District","=""0400011""",8748,82,8830
"East Haddam School District","=""0410011""",12605,16,12621
"East Hampton School District","=""0420011""",19388,106,19494
"East Hartford School District","=""0430011""",65264,5945,71209
"East Haven School District","=""0440011""",30945,2070,33015
"East Lyme School District","=""0450011""",29494,346,29840
